snapshot_at,project_number,project_title,item_id,content_type,issue_number,title,url,repository,assignees,status
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NK5Q,Issue,39,"(LAB01S03 - 7) Revisar a Sprint 3, atualizar o board e exportar o snapshot",https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/39,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Review
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2ShFk,Issue,26,(LAB01S02 - 7) Revisar a entrega e atualizar o GitHub Project,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/26,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NK08,Issue,38,(LAB01S03 - 6) Implementar validação automática das figuras e resultados,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/38,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NKxk,Issue,36,"(LAB01S03 - 4) Analisar e visualizar as RQ05, RQ06 e RQ07",https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/36,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NKv0,Issue,35,(LAB01S03 - 3) Analisar e visualizar as RQ03 e RQ04,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/35,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NKp4,Issue,33,(LAB01S03 - 1) Preparar pipeline comum de análise e visualização,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/33,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2ShDM,Issue,25,(LAB01S02 - 6) Implementar e executar o snapshot do GitHub Project,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/25,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg_o,Issue,24,(LAB01S02 - 5) Integrar análises e gerar a primeira versão do relatório do LAB01,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/24,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg9E,Issue,23,"(LAB01S02 - 4) Implementar validação das RQ05, RQ06 e RQ07 nos 1.000 repositórios",https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/23,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg7A,Issue,22,(LAB01S02 - 3) Implementar validação das RQ03 e RQ04 nos 1.000 repositórios,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/22,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
